time,pm1s10,pm1s25,pm1e10,pm1e25
2024-12-09 00:42:43+00:00,64.0,,,
2024-12-09 00:57:49+00:00,69.0,,,
2024-12-09 00:58:49+00:00,67.0,,,
2024-12-10 14:14:57+00:00,56.0,,,
2024-12-12 02:08:27+00:00,51.0,,,
2024-12-15 00:03:51+00:00,54.0,,,
2024-12-29 14:17:20+00:00,96.0,,,
2024-12-29 17:29:34+00:00,59.0,,,
2024-12-29 17:30:35+00:00,53.0,,,
2024-12-29 17:42:21+00:00,184.0,,,
2024-12-29 17:43:23+00:00,116.0,,,
2024-12-29 17:44:24+00:00,73.0,,,
2024-12-29 17:45:26+00:00,86.0,,,
2024-12-29 17:46:27+00:00,62.0,,,
2024-12-31 14:24:20+00:00,251.0,,,
2024-12-31 23:17:40+00:00,58.0,,,
2024-12-31 23:18:41+00:00,81.0,,,
2024-12-31 23:19:42+00:00,223.0,,,
2024-12-31 23:20:44+00:00,88.0,,,
2024-12-31 23:21:44+00:00,211.0,,,
2024-12-31 23:22:46+00:00,66.0,,,
2024-12-31 23:23:47+00:00,56.0,,,
2024-12-31 23:24:48+00:00,277.0,,,
2024-12-31 23:25:50+00:00,101.0,,,
2024-12-31 23:28:52+00:00,178.0,,,
2024-12-31 23:30:53+00:00,211.0,,,
2024-12-31 23:35:59+00:00,371.0,,,
2024-12-31 23:38:11+00:00,266.0,,,
2024-12-31 23:39:12+00:00,214.0,,,
2024-12-31 23:40:14+00:00,199.0,,,
2024-12-31 23:42:17+00:00,91.0,,,
2024-12-31 23:43:18+00:00,92.0,,,
2024-12-31 23:44:20+00:00,82.0,,,
2024-12-31 23:45:21+00:00,128.0,,,
2024-12-31 23:46:22+00:00,105.0,,,
2024-12-31 23:47:24+00:00,170.0,,,
2024-12-31 23:48:25+00:00,272.0,,,
2024-12-31 23:50:28+00:00,404.0,,,
2024-12-31 23:52:31+00:00,135.0,,,
2024-12-31 23:54:34+00:00,304.0,,,
2024-12-31 23:55:35+00:00,553.0,,,
2024-12-31 23:56:37+00:00,78.0,,,
2024-12-31 23:57:38+00:00,85.0,,,
2025-01-01 00:01:43+00:00,147.0,,,
2025-01-01 00:02:44+00:00,175.0,,,
2025-01-01 00:03:46+00:00,111.0,,,
2025-01-01 00:04:47+00:00,89.0,,,
2025-01-01 00:06:49+00:00,82.0,,,
2025-01-01 00:09:10+00:00,152.0,,,
2025-01-01 00:10:11+00:00,86.0,,,
2025-01-01 00:12:14+00:00,98.0,,,
2025-01-01 00:13:15+00:00,158.0,,,
2025-01-01 00:16:20+00:00,86.0,,,
2025-01-01 00:21:27+00:00,96.0,,,
2025-01-01 00:24:21+00:00,57.0,,,
2025-01-01 00:25:21+00:00,127.0,,,
2025-01-01 00:27:24+00:00,121.0,,,
2025-01-01 00:29:27+00:00,179.0,,,
2025-01-01 00:31:28+00:00,268.0,,,
2025-01-01 00:32:30+00:00,235.0,,,
2025-01-01 00:33:31+00:00,148.0,,,
2025-01-01 00:36:36+00:00,75.0,,,
2025-01-01 00:39:13+00:00,229.0,,,
2025-01-01 00:40:13+00:00,275.0,,,
2025-01-01 00:41:15+00:00,77.0,,,
2025-01-01 00:44:19+00:00,78.0,,,
2025-01-02 00:55:21+00:00,123.0,,,
2025-01-02 10:42:42+00:00,82.0,,,
2025-01-02 10:45:36+00:00,73.0,,,
2025-01-04 07:48:43+00:00,86.0,,,
2025-01-04 07:49:43+00:00,106.0,,,
2025-01-04 08:01:47+00:00,51.0,,,
2025-01-06 14:20:26+00:00,72.0,,,
2025-01-06 14:30:31+00:00,92.0,,,
2025-01-08 21:00:48+00:00,411.0,,,
2025-01-08 21:01:49+00:00,177.0,,,
2025-01-08 21:12:04+00:00,55.0,,,
2025-01-08 21:15:08+00:00,88.0,,,
2025-01-08 21:16:10+00:00,170.0,,,
2025-01-08 21:17:11+00:00,102.0,,,
2025-01-08 21:58:12+00:00,70.0,,,
2025-01-08 22:28:53+00:00,86.0,,,
2025-01-08 22:37:05+00:00,83.0,,,
2025-01-08 22:38:06+00:00,56.0,,,
2025-01-08 22:44:15+00:00,66.0,,,
2025-01-08 22:45:16+00:00,58.0,,,
2025-01-08 22:46:18+00:00,55.0,,,
2025-01-08 22:47:19+00:00,105.0,,,
2025-01-08 23:22:04+00:00,66.0,,,
2025-01-08 23:23:06+00:00,53.0,,,
2025-01-08 23:46:07+00:00,57.0,,,
2025-01-08 23:48:07+00:00,55.0,,,
2025-01-09 00:25:33+00:00,54.0,,,
2025-01-09 00:28:38+00:00,54.0,,,
2025-01-09 00:30:39+00:00,133.0,,,
2025-01-09 00:31:41+00:00,194.0,,,
2025-01-09 00:32:42+00:00,157.0,,,
2025-01-09 00:33:42+00:00,98.0,,,
2025-01-09 00:47:01+00:00,59.0,,,
2025-01-09 00:56:13+00:00,72.0,,,
2025-01-09 00:57:14+00:00,91.0,,,
2025-01-09 00:58:16+00:00,81.0,,,
2025-01-09 00:59:17+00:00,59.0,,,
2025-01-09 01:00:19+00:00,56.0,,,
2025-01-09 01:01:20+00:00,51.0,,,
2025-01-09 01:12:36+00:00,54.0,,,
2025-01-09 01:16:40+00:00,53.0,,,
