"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","1 HOUR","","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","24","100.0000","","12.058333","","34.6","1",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","12","","12","0","56","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","12","","12","0","56","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","81102","2","40.164576","-105.100856","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2024-01-01","2024","001","Micrograms/cubic meter (25 C)","None","","1","100.0000","","16","","16","0","15","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","1","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","11.6","","11.6","0","56","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","1","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","11.6","","11.6","0","56","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","68108","1","40.164576","-105.100856","WGS84","Average Ambient Pressure","24 HOUR","","2024-01-01","2024","001","Millimeters (mercury)","None","","1","100.0000","","635","","635","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","68101","1","40.164576","-105.100856","WGS84","Sample Flow Rate- CV","24 HOUR","","2024-01-01","2024","001","Percent","None","","1","100.0000","","0.5","","0.5","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","68102","1","40.164576","-105.100856","WGS84","Sample Volume","24 HOUR","","2024-01-01","2024","001","Cubic meter","None","","1","100.0000","","24","","24","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","68109","1","40.164576","-105.100856","WGS84","Elapsed Sample Time","24 HOUR","","2024-01-01","2024","001","Minutes","None","","1","100.0000","","1440","","1440","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","85101","2","40.164576","-105.100856","WGS84","PM10 - LC","24 HOUR","","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","15","","15","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","85101","4","40.164576","-105.100856","WGS84","PM10 - LC","1 HOUR","","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","24","100.0000","","20.45","","48.2","1",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","68105","1","40.164576","-105.100856","WGS84","Average Ambient Temperature","24 HOUR","","2024-01-01","2024","001","Degrees Centigrade","None","","1","100.0000","","3","","3","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","81102","3","40.164576","-105.100856","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2024-01-01","2024","001","Micrograms/cubic meter (25 C)","None","","1","100.0000","","21","","21","0","19","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","85101","3","40.164576","-105.100856","WGS84","PM10 - LC","24 HOUR","","2024-01-01","2024","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","20","","20","0",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","1 HOUR","","2024-01-02","2024","002","Micrograms/cubic meter (LC)","None","","24","100.0000","","9.066667","","18.6","23",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2024-01-02","2024","002","Micrograms/cubic meter (LC)","None","","1","100.0000","","9","","9","0","50","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","85101","4","40.164576","-105.100856","WGS84","PM10 - LC","1 HOUR","","2024-01-02","2024","002","Micrograms/cubic meter (LC)","None","","24","100.0000","","22.704167","","33.4","9",".","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2024-01-02","2024","002","Micrograms/cubic meter (LC)","None","","1","100.0000","","9","","9","0","50","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
"08","013","0003","88101","3","40.164576","-105.100856","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2024-01-03","2024","003","Micrograms/cubic meter (LC)","None","","1","100.0000","","8.1","","8.1","0","45","Y","","Colorado","Boulder","Longmont","LONGMONT - MUNICIPAL BLDG","350 KIMBARK ST.","Boulder, CO","AQS Data Mart"
